"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Meat Imports","2018","Beef and veal","000 Tonnes","40.7784"
"Meat Imports","2018","Pig meat","000 Tonnes","123.6744"
"Meat Imports","2018","Sheep meat","000 Tonnes","5.9402"
"Meat Imports","2018","Poultry meat","000 Tonnes","144.9189"
"Meat Imports","2019","Beef and veal","000 Tonnes","36.2412"
"Meat Imports","2019","Pig meat","000 Tonnes","108.6364"
"Meat Imports","2019","Sheep meat","000 Tonnes","7.2164"
"Meat Imports","2019","Poultry meat","000 Tonnes","143.6134"
"Meat Imports","2020","Beef and veal","000 Tonnes","34.645"
"Meat Imports","2020","Pig meat","000 Tonnes","94.2138"
"Meat Imports","2020","Sheep meat","000 Tonnes","6.9657"
"Meat Imports","2020","Poultry meat","000 Tonnes","128.1871"
"Meat Imports","2021","Beef and veal","000 Tonnes","42.2843"
"Meat Imports","2021","Pig meat","000 Tonnes","88.2297"
"Meat Imports","2021","Sheep meat","000 Tonnes","6.572"
"Meat Imports","2021","Poultry meat","000 Tonnes","121.5409"
"Meat Imports","2022","Beef and veal","000 Tonnes","43.4414"
"Meat Imports","2022","Pig meat","000 Tonnes","90.6219"
"Meat Imports","2022","Sheep meat","000 Tonnes","9.5141"
"Meat Imports","2022","Poultry meat","000 Tonnes","147.6211"
"Meat Exports","2018","Beef and veal","000 Tonnes","568.3231705"
"Meat Exports","2018","Pig meat","000 Tonnes","277.0199"
"Meat Exports","2018","Sheep meat","000 Tonnes","56.21005303"
"Meat Exports","2018","Poultry meat","000 Tonnes","125.8933"
"Meat Exports","2019","Beef and veal","000 Tonnes","560.5454"
"Meat Exports","2019","Pig meat","000 Tonnes","256.641"
"Meat Exports","2019","Sheep meat","000 Tonnes","55.2543"
"Meat Exports","2019","Poultry meat","000 Tonnes","136.4992"
"Meat Exports","2020","Beef and veal","000 Tonnes","574.0213"
"Meat Exports","2020","Pig meat","000 Tonnes","259.8305"
"Meat Exports","2020","Sheep meat","000 Tonnes","57.197"
"Meat Exports","2020","Poultry meat","000 Tonnes","128.8081"
"Meat Exports","2021","Beef and veal","000 Tonnes","541.7897"
"Meat Exports","2021","Pig meat","000 Tonnes","264.9492"
"Meat Exports","2021","Sheep meat","000 Tonnes","54.5044"
"Meat Exports","2021","Poultry meat","000 Tonnes","100.4531"
"Meat Exports","2022","Beef and veal","000 Tonnes","570.3589923"
"Meat Exports","2022","Pig meat","000 Tonnes","267.7722"
"Meat Exports","2022","Sheep meat","000 Tonnes","62.73546945"
"Meat Exports","2022","Poultry meat","000 Tonnes","104.7007"
"Variation in Meat Stocks","2018","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2018","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2018","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2018","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2019","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2019","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2020","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2020","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2021","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2021","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2022","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2022","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2022","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2022","Poultry meat","000 Tonnes","0"
"Human Consumption of Meat Products","2018","Beef and veal","Kg per capita","19.55939881"
"Human Consumption of Meat Products","2018","Pig meat","Kg per capita","30.86646076"
"Human Consumption of Meat Products","2018","Sheep meat","Kg per capita","3.733959152"
"Human Consumption of Meat Products","2018","Poultry meat","Kg per capita","36.19620085"
"Human Consumption of Meat Products","2019","Beef and veal","Kg per capita","19.40465305"
"Human Consumption of Meat Products","2019","Pig meat","Kg per capita","31.7716345"
"Human Consumption of Meat Products","2019","Sheep meat","Kg per capita","3.657421518"
"Human Consumption of Meat Products","2019","Poultry meat","Kg per capita","35.38954215"
"Human Consumption of Meat Products","2020","Beef and veal","Kg per capita","18.88536184"
"Human Consumption of Meat Products","2020","Pig meat","Kg per capita","31.04295415"
"Human Consumption of Meat Products","2020","Sheep meat","Kg per capita","3.214529674"
"Human Consumption of Meat Products","2020","Poultry meat","Kg per capita","35.39106024"
"Human Consumption of Meat Products","2021","Beef and veal","Kg per capita","18.95640028"
"Human Consumption of Meat Products","2021","Pig meat","Kg per capita","31.61003692"
"Human Consumption of Meat Products","2021","Sheep meat","Kg per capita","3.092886361"
"Human Consumption of Meat Products","2021","Poultry meat","Kg per capita","39.32389073"
"Human Consumption of Meat Products","2022","Beef and veal","Kg per capita","18.52868515"
"Human Consumption of Meat Products","2022","Pig meat","Kg per capita","30.47572959"
"Human Consumption of Meat Products","2022","Sheep meat","Kg per capita","2.941061135"
"Human Consumption of Meat Products","2022","Poultry meat","Kg per capita","41.93166299"
